Metric		Current
UNIT_SIZE_COMPONENT_FEATURES_LOW_RISK_LOC		225
UNIT_SIZE_COMPONENT_FEATURES_LOW_RISK_PERCENTAGE		25.6
UNIT_SIZE_COMPONENT_FEATURES_LOW_RISK_COUNT		15
UNIT_SIZE_COMPONENT_FEATURES_MEDIUM_RISK_LOC		178
UNIT_SIZE_COMPONENT_FEATURES_MEDIUM_RISK_PERCENTAGE		20.25
UNIT_SIZE_COMPONENT_FEATURES_MEDIUM_RISK_COUNT		7
UNIT_SIZE_COMPONENT_FEATURES_HIGH_RISK_LOC		59
UNIT_SIZE_COMPONENT_FEATURES_HIGH_RISK_PERCENTAGE		6.71
UNIT_SIZE_COMPONENT_FEATURES_HIGH_RISK_COUNT		1
UNIT_SIZE_COMPONENT_FEATURES_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FEATURES_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FEATURES_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_LOC		115
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_PERCENTAGE		5.66
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_COUNT		21
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_LOC		186
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_PERCENTAGE		9.16
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_COUNT		13
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_LOC		390
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_PERCENTAGE		19.2
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_COUNT		14
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_LOC		321
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_PERCENTAGE		15.81
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_COUNT		5
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_LOC		1,019
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_PERCENTAGE		50.17
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_COUNT		6
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_LOC		758
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_PERCENTAGE		32.91
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_COUNT		143
UNIT_SIZE_EXTENSION_TS_LOW_RISK_LOC		538
UNIT_SIZE_EXTENSION_TS_LOW_RISK_PERCENTAGE		23.36
UNIT_SIZE_EXTENSION_TS_LOW_RISK_COUNT		35
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_LOC		641
