Metric		Current
CONDITIONAL_COMPLEXITY_COMPONENT_APP_NEGLIGIBLE_RISK_LOC		1,254
CONDITIONAL_COMPLEXITY_COMPONENT_APP_NEGLIGIBLE_RISK_PERCENTAGE		41.55
CONDITIONAL_COMPLEXITY_COMPONENT_APP_NEGLIGIBLE_RISK_COUNT		75
CONDITIONAL_COMPLEXITY_COMPONENT_APP_LOW_RISK_LOC		417
CONDITIONAL_COMPLEXITY_COMPONENT_APP_LOW_RISK_PERCENTAGE		13.82
CONDITIONAL_COMPLEXITY_COMPONENT_APP_LOW_RISK_COUNT		8
CONDITIONAL_COMPLEXITY_COMPONENT_APP_MEDIUM_RISK_LOC		839
CONDITIONAL_COMPLEXITY_COMPONENT_APP_MEDIUM_RISK_PERCENTAGE		27.8
CONDITIONAL_COMPLEXITY_COMPONENT_APP_MEDIUM_RISK_COUNT		6
CONDITIONAL_COMPLEXITY_COMPONENT_APP_HIGH_RISK_LOC		508
CONDITIONAL_COMPLEXITY_COMPONENT_APP_HIGH_RISK_PERCENTAGE		16.83
CONDITIONAL_COMPLEXITY_COMPONENT_APP_HIGH_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_APP_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_APP_VERY_HIGH_RISK_PERCENTAGE		0
